Reference; Quantity; Value; Footprint; Datasheet
AU1 ;1;Uno Layout;;
C1 C2 C3 C4 C6 C7 ;6;1µ;;
C11 C9 ;2;10µ;;
C10 C5 C8 ;3;0;1µ;
D1 D2 ;2;1N4148-T;;
D3 ;1;VSB2045Y-M3/54;;
F1 F2 ;2;15A;;
P1 ;1;Load;;
P2 ;1;LI_balancer;;
P3 ;1;PV;;
P4 ;1;Extra;;
P5 ;1;LI;;
P6 ;1;LA;;
Q12 Q13 ;2;STL60P4LLF6;;
Q3 Q5 ;2;RQ3E100BNTB;;
Q4 ;1;BSS138;TO_SOT_Packages_SMD:SOT-23;
Q1 Q10 Q7 Q8 ;4;2N3904;;
Q11 Q2 Q6 Q9 ;4;IPD90P04P4_05;;
R1 R10 R14 R17 R2 R3 R4 R5 ;8;100;;
R15 R21 R30 R34 R43 R47 ;6;4.7k;;
R16 R18 R33 R44 ;4;R005;;
R19 R20 R32 R36 R45 R46 ;6;220k;;
R24 R25 R27 ;3;1M;;
R11 R13 R22 R23 R26 R28 R29 R38 R48 R49 R6 ;11;10k;;
R35 R39 R41 R7 R9 ;5;100k;;
R12 R31 R37 ;3;47k;;
R40 ;1;2.2k;;
R42 R8 ;2;33k;;
U1 U4 ;2;LM358;;
U2 ;1;bq76920;;
U3 ;1;cd4051;;
